id,event_id,minute,second,team_id,team_name,player_id,x,y,end_x,end_y,is_touch,is_shot,is_goal,type,outcome,period,name,shirt_no,position
2744768111,409,45,24,26,Liverpool,352825,87.1,88.3,73.8,81.5,True,False,False,Pass,Successful,SecondHalf,Cody Gakpo,18,FWL
2744768135,410,45,27,26,Liverpool,301455,71.5,80.3,55.5,72.4,True,False,False,Pass,Successful,SecondHalf,Kostas Tsimikas,21,DL
2744768169,411,45,30,26,Liverpool,95408,53.2,70.9,29.6,55.8,True,False,False,Pass,Successful,SecondHalf,Virgil van Dijk,4,DC
2744768177,412,45,34,26,Liverpool,322176,31.0,58.4,38.7,75.0,True,False,False,Pass,Successful,SecondHalf,Caoimhín Kelleher,62,GK
2744768205,413,45,36,26,Liverpool,95408,39.5,75.9,44.4,91.5,True,False,False,Pass,Successful,SecondHalf,Virgil van Dijk,4,DC
2744768249,414,45,39,26,Liverpool,301455,41.9,90.3,30.0,71.2,True,False,False,Pass,Successful,SecondHalf,Kostas Tsimikas,21,DL
2744768265,415,45,41,26,Liverpool,95408,35.1,67.3,67.4,30.3,True,False,False,Pass,Unsuccessful,SecondHalf,Virgil van Dijk,4,DC
2744768277,508,45,43,36,Leverkusen,404832,32.8,73.3,40.0,67.2,True,False,False,Pass,Successful,SecondHalf,Piero Hincapié,3,DC
2744768279,509,45,45,36,Leverkusen,280663,40.0,67.2,,,False,False,False,BallRecovery,Successful,SecondHalf,Aleix García,24,MC
2744768317,510,45,47,36,Leverkusen,280663,40.0,67.2,43.4,89.8,True,False,False,Pass,Successful,SecondHalf,Aleix García,24,MC
2744768329,511,45,50,36,Leverkusen,107252,41.7,88.9,23.7,61.4,True,False,False,Pass,Successful,SecondHalf,Álex Grimaldo,20,DML
2744768355,512,45,52,36,Leverkusen,134946,23.7,61.4,3.4,50.4,True,False,False,Pass,Successful,SecondHalf,Jonathan Tah,4,DC
2744768405,513,45,56,36,Leverkusen,64846,5.6,45.6,49.6,0.0,True,False,False,Pass,Unsuccessful,SecondHalf,Lukás Hrádecky,1,GK
2744768543,417,46,4,26,Liverpool,301455,48.3,100.0,36.8,93.0,True,False,False,Pass,Successful,SecondHalf,Kostas Tsimikas,21,DL
2744768569,418,46,11,26,Liverpool,95408,38.2,69.0,33.7,42.8,True,False,False,Pass,Successful,SecondHalf,Virgil van Dijk,4,DC
2744768607,419,46,14,26,Liverpool,345957,34.6,38.2,43.4,15.8,True,False,False,Pass,Successful,SecondHalf,Ibrahima Konaté,5,DC
2744768637,420,46,17,26,Liverpool,318871,45.0,21.9,32.8,37.0,True,False,False,Pass,Successful,SecondHalf,Trent Alexander-Arnold,66,DR
2744768667,421,46,18,26,Liverpool,345957,32.8,40.0,33.5,70.3,True,False,False,Pass,Successful,SecondHalf,Ibrahima Konaté,5,DC
2744768691,422,46,23,26,Liverpool,95408,39.6,73.6,41.7,89.4,True,False,False,Pass,Successful,SecondHalf,Virgil van Dijk,4,DC
2744768715,423,46,25,26,Liverpool,301455,39.3,85.1,30.2,71.1,True,False,False,Pass,Successful,SecondHalf,Kostas Tsimikas,21,DL
2744768757,424,46,28,26,Liverpool,95408,27.7,64.8,29.1,32.2,True,False,False,Pass,Successful,SecondHalf,Virgil van Dijk,4,DC
2744768781,425,46,31,26,Liverpool,345957,32.0,28.8,45.7,31.3,True,False,False,Pass,Successful,SecondHalf,Ibrahima Konaté,5,DC
2744768815,426,46,33,26,Liverpool,355354,53.0,26.2,63.9,3.7,True,False,False,Pass,Successful,SecondHalf,Curtis Jones,17,MC
2744768825,427,46,35,26,Liverpool,108226,63.9,3.7,,,True,False,False,BallTouch,Unsuccessful,SecondHalf,Mohamed Salah,11,FWR
2744769017,516,46,56,36,Leverkusen,107252,40.8,100.0,62.0,94.8,True,False,False,Pass,Unsuccessful,SecondHalf,Álex Grimaldo,20,DML
2744769031,517,46,57,36,Leverkusen,384000,61.2,94.2,,,False,False,False,Aerial,Unsuccessful,SecondHalf,Victor Boniface,22,FW
2744769041,429,46,57,26,Liverpool,345957,38.8,5.8,,,False,False,False,Aerial,Successful,SecondHalf,Ibrahima Konaté,5,DC
2744769049,430,46,57,26,Liverpool,345957,40.1,7.4,,,True,False,False,BallTouch,Successful,SecondHalf,Ibrahima Konaté,5,DC
2744769091,431,46,59,26,Liverpool,318871,41.0,4.4,34.0,17.0,True,False,False,Pass,Successful,SecondHalf,Trent Alexander-Arnold,66,DR
2744769095,432,47,1,26,Liverpool,95408,34.0,17.0,37.7,6.2,True,False,False,Pass,Successful,SecondHalf,Virgil van Dijk,4,DC
2744769101,433,47,2,26,Liverpool,318871,36.5,8.8,42.2,18.5,True,False,False,Pass,Unsuccessful,SecondHalf,Trent Alexander-Arnold,66,DR
2744769121,518,47,4,36,Leverkusen,280663,56.9,82.7,67.0,88.9,True,False,False,Pass,Successful,SecondHalf,Aleix García,24,MC
2744769127,519,47,6,36,Leverkusen,384000,67.0,88.9,56.8,82.0,True,False,False,Pass,Successful,SecondHalf,Victor Boniface,22,FW
2744769149,520,47,7,36,Leverkusen,280663,56.8,82.0,45.5,40.4,True,False,False,Pass,Successful,SecondHalf,Aleix García,24,MC
